证券代码,证券简称,所属申万一级行业名称(2021),所属申万二级行业名称(2021)
000001.SZ,平安银行,银行,股份制银行Ⅱ
000002.SZ,万科A,房地产,房地产开发
000004.SZ,*ST国华,计算机,软件开发
000006.SZ,深振业A,房地产,房地产开发
000007.SZ,全新好,商贸零售,一般零售
000008.SZ,神州高铁,机械设备,轨交设备Ⅱ
000009.SZ,中国宝安,电力设备,电池
000010.SZ,美丽生态,建筑装饰,基础建设
000011.SZ,深物业A,房地产,房地产开发
000012.SZ,南玻A,建筑材料,玻璃玻纤
000014.SZ,沙河股份,房地产,房地产开发
000016.SZ,深康佳A,家用电器,白色家电
000017.SZ,深中华A,纺织服饰,饰品
000019.SZ,深粮控股,农林牧渔,农产品加工
000020.SZ,深华发A,电子,光学光电子
000021.SZ,深科技,电子,消费电子
000025.SZ,特力A,综合,综合Ⅱ
000026.SZ,飞亚达,纺织服饰,饰品
000027.SZ,深圳能源,公用事业,电力
000028.SZ,国药一致,医药生物,医药商业
000029.SZ,深深房A,房地产,房地产开发
000030.SZ,富奥股份,汽车,汽车零部件
000031.SZ,大悦城,房地产,房地产开发
000032.SZ,深桑达A,建筑装饰,专业工程
000034.SZ,神州数码,计算机,IT服务Ⅱ
000035.SZ,中国天楹,环保,环境治理
000036.SZ,华联控股,房地产,房地产开发
000037.SZ,深南电A,公用事业,电力
000039.SZ,中集集团,机械设备,通用设备
000042.SZ,中洲控股,房地产,房地产开发
000045.SZ,深纺织A,电子,光学光电子
000048.SZ,京基智农,农林牧渔,养殖业
000049.SZ,德赛电池,电力设备,电池
000050.SZ,深天马A,电子,光学光电子
000055.SZ,方大集团,建筑材料,装修建材
000056.SZ,皇庭国际,房地产,房地产服务
000058.SZ,深赛格,商贸零售,一般零售
000059.SZ,华锦股份,石油石化,炼化及贸易
000060.SZ,中金岭南,有色金属,工业金属
000061.SZ,农产品,商贸零售,一般零售
000062.SZ,深圳华强,电子,其他电子Ⅱ
000063.SZ,中兴通讯,通信,通信设备
000065.SZ,北方国际,建筑装饰,专业工程
000066.SZ,中国长城,计算机,计算机设备
000068.SZ,华控赛格,环保,环境治理
000069.SZ,华侨城A,房地产,房地产开发
000070.SZ,特发信息,通信,通信设备
000078.SZ,海王生物,医药生物,医药商业
000088.SZ,盐田港,交通运输,航运港口
000089.SZ,深圳机场,交通运输,航空机场
000090.SZ,天健集团,房地产,房地产开发
000096.SZ,广聚能源,石油石化,炼化及贸易
000099.SZ,中信海直,交通运输,航空机场
000100.SZ,TCL科技,电子,光学光电子
000151.SZ,中成股份,商贸零售,贸易Ⅱ
000153.SZ,丰原药业,医药生物,化学制药
000155.SZ,川能动力,公用事业,电力
000156.SZ,华数传媒,传媒,电视广播Ⅱ
000157.SZ,中联重科,机械设备,工程机械
000158.SZ,常山北明,计算机,IT服务Ⅱ
000159.SZ,国际实业,电力设备,光伏设备
000166.SZ,申万宏源,非银金融,证券Ⅱ
000301.SZ,东方盛虹,石油石化,炼化及贸易
000333.SZ,美的集团,家用电器,白色家电
000338.SZ,潍柴动力,汽车,汽车零部件
000400.SZ,许继电气,电力设备,电网设备
000401.SZ,金隅冀东,建筑材料,水泥
000402.SZ,金融街,房地产,房地产开发
000403.SZ,派林生物,医药生物,生物制品
000404.SZ,长虹华意,家用电器,家电零部件Ⅱ
000407.SZ,胜利股份,公用事业,燃气Ⅱ
000408.SZ,藏格矿业,有色金属,能源金属
000409.SZ,云鼎科技,计算机,IT服务Ⅱ
000410.SZ,沈阳机床,机械设备,通用设备
000411.SZ,英特集团,医药生物,医药商业
000415.SZ,渤海租赁,非银金融,多元金融
000417.SZ,合百集团,商贸零售,一般零售
000419.SZ,通程控股,商贸零售,一般零售
000420.SZ,吉林化纤,基础化工,化学纤维
000421.SZ,南京公用,综合,综合Ⅱ
000422.SZ,湖北宜化,基础化工,农化制品
000423.SZ,东阿阿胶,医药生物,中药Ⅱ
000425.SZ,徐工机械,机械设备,工程机械
000426.SZ,兴业银锡,有色金属,工业金属
000428.SZ,华天酒店,社会服务,酒店餐饮
000429.SZ,粤高速A,交通运输,铁路公路
000430.SZ,ST张家界,社会服务,旅游及景区
000488.SZ,ST晨鸣,轻工制造,造纸
000498.SZ,山东路桥,建筑装饰,基础建设
000501.SZ,武商集团,商贸零售,一般零售
000503.SZ,国新健康,计算机,软件开发
000504.SZ,*ST生物,医药生物,医疗服务
000505.SZ,京粮控股,农林牧渔,农产品加工
000506.SZ,招金黄金,有色金属,贵金属
000507.SZ,珠海港,公用事业,电力
000509.SZ,华塑控股,电子,光学光电子
000510.SZ,新金路,基础化工,化学原料
000513.SZ,丽珠集团,医药生物,化学制药
000514.SZ,渝开发,房地产,房地产开发
000516.SZ,国际医学,医药生物,医疗服务
000517.SZ,荣安地产,房地产,房地产开发
000518.SZ,*ST四环,医药生物,生物制品
000519.SZ,中兵红箭,国防军工,地面兵装Ⅱ
000520.SZ,凤凰航运,交通运输,航运港口
000521.SZ,长虹美菱,家用电器,白色家电
000523.SZ,红棉股份,综合,综合Ⅱ
000524.SZ,岭南控股,社会服务,旅游及景区
000525.SZ,红太阳,基础化工,农化制品
000526.SZ,学大教育,社会服务,教育
000528.SZ,柳工,机械设备,工程机械
000529.SZ,广弘控股,食品饮料,食品加工
000530.SZ,冰山冷热,机械设备,通用设备
000531.SZ,穗恒运A,公用事业,电力
000532.SZ,华金资本,非银金融,多元金融
000533.SZ,顺钠股份,电力设备,电网设备
000534.SZ,万泽股份,医药生物,生物制品
000536.SZ,华映科技,电子,光学光电子
000537.SZ,绿发电力,公用事业,电力
000538.SZ,云南白药,医药生物,中药Ⅱ
000539.SZ,粤电力A,公用事业,电力
000541.SZ,佛山照明,家用电器,照明设备Ⅱ
000543.SZ,皖能电力,公用事业,电力
000544.SZ,中原环保,环保,环境治理
000545.SZ,金浦钛业,基础化工,化学原料
000546.SZ,金圆股份,环保,环境治理
000547.SZ,航天发展,国防军工,军工电子Ⅱ
000548.SZ,湖南投资,交通运输,铁路公路
000550.SZ,江铃汽车,汽车,商用车
000551.SZ,创元科技,环保,环保设备Ⅱ
000552.SZ,甘肃能化,煤炭,煤炭开采
000553.SZ,安道麦A,基础化工,农化制品
000554.SZ,泰山石油,石油石化,炼化及贸易
000555.SZ,神州信息,计算机,IT服务Ⅱ
000557.SZ,西部创业,交通运输,铁路公路
000558.SZ,天府文旅,社会服务,旅游及景区
000559.SZ,万向钱潮,汽车,汽车零部件
000560.SZ,我爱我家,房地产,房地产服务
000561.SZ,烽火电子,国防军工,航空装备Ⅱ
000563.SZ,陕国投A,非银金融,多元金融
000564.SZ,供销大集,商贸零售,一般零售
000565.SZ,渝三峡A,基础化工,化学制品
000566.SZ,海南海药,医药生物,化学制药
000567.SZ,海德股份,非银金融,多元金融
000568.SZ,泸州老窖,食品饮料,白酒Ⅱ
000570.SZ,苏常柴A,汽车,汽车零部件
000571.SZ,新大洲A,煤炭,煤炭开采
000572.SZ,海马汽车,汽车,乘用车
000573.SZ,粤宏远A,房地产,房地产开发
000576.SZ,甘化科工,国防军工,地面兵装Ⅱ
000581.SZ,威孚高科,汽车,汽车零部件
000582.SZ,北部湾港,交通运输,航运港口
000586.SZ,汇源通信,通信,通信设备
000589.SZ,贵州轮胎,汽车,汽车零部件
000590.SZ,古汉医药,医药生物,中药Ⅱ
000591.SZ,太阳能,公用事业,电力
000592.SZ,平潭发展,农林牧渔,林业Ⅱ
000593.SZ,德龙汇能,公用事业,燃气Ⅱ
000595.SZ,*ST宝实,机械设备,通用设备
000596.SZ,古井贡酒,食品饮料,白酒Ⅱ
000597.SZ,东北制药,医药生物,化学制药
000598.SZ,兴蓉环境,环保,环境治理
000599.SZ,青岛双星,汽车,汽车零部件
000600.SZ,建投能源,公用事业,电力
000601.SZ,韶能股份,公用事业,电力
000603.SZ,盛达资源,有色金属,工业金属
000605.SZ,渤海股份,环保,环境治理
000607.SZ,华媒控股,传媒,广告营销
000608.SZ,*ST阳光,房地产,房地产开发
000609.SZ,ST中迪,房地产,房地产开发
000610.SZ,西安旅游,社会服务,旅游及景区
000612.SZ,焦作万方,有色金属,工业金属
000615.SZ,*ST美谷,美容护理,医疗美容
000617.SZ,中油资本,非银金融,多元金融
000619.SZ,海螺新材,建筑材料,装修建材
000620.SZ,盈新发展,房地产,房地产开发
000623.SZ,吉林敖东,医药生物,中药Ⅱ
000625.SZ,长安汽车,汽车,乘用车
000626.SZ,远大控股,交通运输,物流
000628.SZ,高新发展,建筑装饰,房屋建设Ⅱ
000629.SZ,钒钛股份,钢铁,冶钢原料
000630.SZ,铜陵有色,有色金属,工业金属
000631.SZ,顺发恒能,房地产,房地产开发
000632.SZ,三木集团,综合,综合Ⅱ
000633.SZ,合金投资,有色金属,金属新材料
000635.SZ,英力特,基础化工,化学原料
000636.SZ,风华高科,电子,元件
000637.SZ,茂化实华,石油石化,炼化及贸易
000638.SZ,*ST万方,国防军工,军工电子Ⅱ
000639.SZ,西王食品,食品饮料,食品加工
000650.SZ,仁和药业,医药生物,中药Ⅱ
000651.SZ,格力电器,家用电器,白色家电
000652.SZ,泰达股份,综合,综合Ⅱ
000655.SZ,金岭矿业,钢铁,冶钢原料
000656.SZ,*ST金科,房地产,房地产开发
000657.SZ,中钨高新,有色金属,小金属
000659.SZ,珠海中富,轻工制造,包装印刷
000661.SZ,长春高新,医药生物,生物制品
000663.SZ,永安林业,农林牧渔,林业Ⅱ
000665.SZ,湖北广电,传媒,电视广播Ⅱ
000668.SZ,*ST荣控,房地产,房地产开发
000669.SZ,ST金鸿,公用事业,燃气Ⅱ
000670.SZ,盈方微,电子,其他电子Ⅱ
000672.SZ,上峰水泥,建筑材料,水泥
000676.SZ,智度股份,传媒,广告营销
000677.SZ,恒天海龙,基础化工,化学纤维
000678.SZ,襄阳轴承,汽车,汽车零部件
000679.SZ,大连友谊,商贸零售,一般零售
000680.SZ,山推股份,机械设备,工程机械
000681.SZ,视觉中国,传媒,数字媒体
000682.SZ,东方电子,电力设备,电网设备
000683.SZ,博源化工,基础化工,化学原料
000685.SZ,中山公用,环保,环境治理
000686.SZ,东北证券,非银金融,证券Ⅱ
000688.SZ,国城矿业,有色金属,工业金属
000690.SZ,宝新能源,公用事业,电力
000691.SZ,*ST亚太,基础化工,化学原料
000692.SZ,惠天热电,公用事业,电力
000695.SZ,滨海能源,电力设备,电池
000697.SZ,ST炼石,国防军工,航空装备Ⅱ
000698.SZ,ST沈化,石油石化,炼化及贸易
000700.SZ,模塑科技,汽车,汽车零部件
000701.SZ,厦门信达,汽车,汽车服务
000702.SZ,正虹科技,农林牧渔,饲料
000703.SZ,恒逸石化,石油石化,炼化及贸易
000705.SZ,浙江震元,医药生物,医药商业
000707.SZ,双环科技,基础化工,化学原料
000708.SZ,中信特钢,钢铁,特钢Ⅱ
000709.SZ,河钢股份,钢铁,普钢
000710.SZ,贝瑞基因,医药生物,医疗服务
000711.SZ,ST京蓝,环保,环境治理
000712.SZ,锦龙股份,非银金融,证券Ⅱ
000713.SZ,国投丰乐,农林牧渔,种植业
000715.SZ,中兴商业,商贸零售,一般零售
000716.SZ,黑芝麻,食品饮料,休闲食品
000717.SZ,中南股份,钢铁,普钢
000718.SZ,苏宁环球,房地产,房地产开发
000719.SZ,中原传媒,传媒,出版
000720.SZ,新能泰山,电力设备,电网设备
000721.SZ,西安饮食,社会服务,酒店餐饮
000722.SZ,湖南发展,公用事业,电力
000723.SZ,美锦能源,煤炭,焦炭Ⅱ
000725.SZ,京东方A,电子,光学光电子
000726.SZ,鲁泰A,纺织服饰,纺织制造
000727.SZ,冠捷科技,电子,光学光电子
